Texture.code,Texture,ClayCentroid,SiltCentroid,SandCentroid
HCl,Heavy clay,79.9954012976866,9.99692946299954,10.0076692393138
ClLo,Clay loam,33.7198552828958,33.7322146723435,32.5479300447608
SaLo,Sandy loam,10.7932833104872,24.4337641554766,64.7729525340363
Cl,Clay,51.4843717568198,22.199127133538,26.3165011096422
SaClLo,Sandy clay loam,27.3412490065583,12.9686615260521,59.6900894673895
L,loam,18.6868492079293,40.4178919617912,40.8952588302795
SiLo,Silty loam,13.8465016431907,65.249442125659,20.9040562311503
SiClLo,Silty clay loam,33.7060761563366,56.3363363556246,9.95758748803879
SaCl,Sandy clay,42.0962314525206,6.42659849786126,51.4771700496182
SiCl,Silty clay,47.1097828364527,46.4667678890933,6.42344927445409
Si,Silt,5.27267152402282,87.3898630444045,7.33746543157271
LoSa,Loamy sand,5.93329981387941,12.3584493573717,81.7082508287489
Sa,Sand,3.32098765352916,4.93087713127513,91.7481352151957
